Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,23/08/2025 13:30,BayArena,Bayer 04 Leverkusen,TSG Hoffenheim,1 - 2
16,2,30/08/2025 13:30,Weserstadion,SV Werder Bremen,Bayer 04 Leverkusen,3 - 3
26,3,12/09/2025 18:30,BayArena,Bayer 04 Leverkusen,Eintracht Frankfurt,3 - 1
36,4,21/09/2025 15:30,BayArena,Bayer 04 Leverkusen,Borussia Mönchengladbach,1 - 1
39,5,27/09/2025 13:30,Millerntor-Stadion,FC St. Pauli,Bayer 04 Leverkusen,1 - 2
54,6,04/10/2025 13:30,BayArena,Bayer 04 Leverkusen,1. FC Union Berlin,2 - 0
61,7,18/10/2025 13:30,Mewa Arena,1. FSV Mainz 05,Bayer 04 Leverkusen,3 - 4
72,8,26/10/2025 14:30,BayArena,Bayer 04 Leverkusen,Sport-Club Freiburg,2 - 0
81,9,01/11/2025 17:30,Allianz Arena,FC Bayern München,Bayer 04 Leverkusen,3 - 0
90,10,08/11/2025 14:30,BayArena,Bayer 04 Leverkusen,1. FC Heidenheim 1846,6 - 0
95,11,22/11/2025 14:30,Volkswagen Arena,VfL Wolfsburg,Bayer 04 Leverkusen,1 - 3
107,12,29/11/2025 17:30,BayArena,Bayer 04 Leverkusen,Borussia Dortmund,1 - 2
112,13,06/12/2025 14:30,WWK Arena,FC Augsburg,Bayer 04 Leverkusen,2 - 0
125,14,13/12/2025 17:30,BayArena,Bayer 04 Leverkusen,1. FC Köln,2 - 0
133,15,20/12/2025 17:30,Red Bull Arena,RB Leipzig,Bayer 04 Leverkusen,1 - 3
143,16,10/01/2026 17:30,BayArena,Bayer 04 Leverkusen,VfB Stuttgart,1 - 4
145,17,04/03/2026 19:30,Volksparkstadion,Hamburger SV,Bayer 04 Leverkusen,
156,18,17/01/2026 14:30,PreZero Arena,TSG Hoffenheim,Bayer 04 Leverkusen,1 - 0
170,19,24/01/2026 14:30,BayArena,Bayer 04 Leverkusen,SV Werder Bremen,1 - 0
180,20,31/01/2026 14:30,Deutsche Bank Park,Eintracht Frankfurt,Bayer 04 Leverkusen,
186,21,07/02/2026 17:30,Borussia-Park,Borussia Mönchengladbach,Bayer 04 Leverkusen,
198,22,14/02/2026 14:30,BayArena,Bayer 04 Leverkusen,FC St. Pauli,
202,23,21/02/2026 14:30,An der Alten Försterei,1. FC Union Berlin,Bayer 04 Leverkusen,
216,24,28/02/2026 14:30,BayArena,Bayer 04 Leverkusen,1. FSV Mainz 05,
224,25,07/03/2026 14:30,Europa-Park Stadion,Sport-Club Freiburg,Bayer 04 Leverkusen,
234,26,14/03/2026 14:30,BayArena,Bayer 04 Leverkusen,FC Bayern München,
236,27,21/03/2026 14:30,Voith-Arena,1. FC Heidenheim 1846,Bayer 04 Leverkusen,
252,28,04/04/2026 13:30,BayArena,Bayer 04 Leverkusen,VfL Wolfsburg,
261,29,11/04/2026 13:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,
269,30,18/04/2026 13:30,BayArena,Bayer 04 Leverkusen,FC Augsburg,
272,31,25/04/2026 13:30,RheinEnergieStadion,1. FC Köln,Bayer 04 Leverkusen,
287,32,02/05/2026 13:30,BayArena,Bayer 04 Leverkusen,RB Leipzig,
294,33,09/05/2026 13:30,MHPArena,VfB Stuttgart,Bayer 04 Leverkusen,
305,34,16/05/2026 13:30,BayArena,Bayer 04 Leverkusen,Hamburger SV,
