Match Number,Round Number,Date,Location,Home Team,Away Team,Result
3,1,23/08/2025 16:30,Millerntor-Stadion,FC St. Pauli,Borussia Dortmund,3 - 3
18,2,31/08/2025 15:30,Signal Iduna Park,Borussia Dortmund,1. FC Union Berlin,3 - 0
19,3,13/09/2025 13:30,Voith-Arena,1. FC Heidenheim 1846,Borussia Dortmund,0 - 2
34,4,21/09/2025 17:30,Signal Iduna Park,Borussia Dortmund,VfL Wolfsburg,1 - 0
43,5,27/09/2025 13:30,Mewa Arena,1. FSV Mainz 05,Borussia Dortmund,0 - 2
52,6,04/10/2025 13:30,Signal Iduna Park,Borussia Dortmund,RB Leipzig,1 - 1
63,7,18/10/2025 16:30,Allianz Arena,FC Bayern München,Borussia Dortmund,2 - 1
70,8,25/10/2025 16:30,Signal Iduna Park,Borussia Dortmund,1. FC Köln,1 - 0
77,9,31/10/2025 19:30,WWK Arena,FC Augsburg,Borussia Dortmund,0 - 1
82,10,08/11/2025 14:30,Volksparkstadion,Hamburger SV,Borussia Dortmund,1 - 1
98,11,22/11/2025 14:30,Signal Iduna Park,Borussia Dortmund,VfB Stuttgart,3 - 3
107,12,29/11/2025 17:30,BayArena,Bayer 04 Leverkusen,Borussia Dortmund,1 - 2
117,13,07/12/2025 16:30,Signal Iduna Park,Borussia Dortmund,TSG Hoffenheim,2 - 0
123,14,14/12/2025 14:30,Europa-Park Stadion,Sport-Club Freiburg,Borussia Dortmund,1 - 1
135,15,19/12/2025 19:30,Signal Iduna Park,Borussia Dortmund,Borussia Mönchengladbach,2 - 0
142,16,09/01/2026 19:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,3 - 3
153,17,13/01/2026 19:30,Signal Iduna Park,Borussia Dortmund,SV Werder Bremen,3 - 0
162,18,17/01/2026 14:30,Signal Iduna Park,Borussia Dortmund,FC St. Pauli,3 - 2
165,19,24/01/2026 17:30,An der Alten Försterei,1. FC Union Berlin,Borussia Dortmund,0 - 3
179,20,01/02/2026 16:30,Signal Iduna Park,Borussia Dortmund,1. FC Heidenheim 1846,
185,21,07/02/2026 14:30,Volkswagen Arena,VfL Wolfsburg,Borussia Dortmund,
196,22,13/02/2026 19:30,Signal Iduna Park,Borussia Dortmund,1. FSV Mainz 05,
204,23,21/02/2026 17:30,Red Bull Arena,RB Leipzig,Borussia Dortmund,
214,24,28/02/2026 17:30,Signal Iduna Park,Borussia Dortmund,FC Bayern München,
217,25,07/03/2026 14:30,RheinEnergieStadion,1. FC Köln,Borussia Dortmund,
232,26,14/03/2026 14:30,Signal Iduna Park,Borussia Dortmund,FC Augsburg,
242,27,21/03/2026 14:30,Signal Iduna Park,Borussia Dortmund,Hamburger SV,
248,28,04/04/2026 13:30,MHPArena,VfB Stuttgart,Borussia Dortmund,
261,29,11/04/2026 13:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,
262,30,18/04/2026 13:30,PreZero Arena,TSG Hoffenheim,Borussia Dortmund,
279,31,25/04/2026 13:30,Signal Iduna Park,Borussia Dortmund,Sport-Club Freiburg,
283,32,02/05/2026 13:30,Borussia-Park,Borussia Mönchengladbach,Borussia Dortmund,
297,33,09/05/2026 13:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,
302,34,16/05/2026 13:30,Weserstadion,SV Werder Bremen,Borussia Dortmund,
