Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,23/08/2025 13:30,Deutsche Bank Park,Eintracht Frankfurt,SV Werder Bremen,4 - 1
12,2,30/08/2025 13:30,PreZero Arena,TSG Hoffenheim,Eintracht Frankfurt,1 - 3
26,3,12/09/2025 18:30,BayArena,Bayer 04 Leverkusen,Eintracht Frankfurt,3 - 1
35,4,21/09/2025 13:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Union Berlin,3 - 4
42,5,27/09/2025 16:30,Borussia-Park,Borussia Mönchengladbach,Eintracht Frankfurt,4 - 6
53,6,04/10/2025 16:30,Deutsche Bank Park,Eintracht Frankfurt,FC Bayern München,0 - 3
62,7,19/10/2025 13:30,Europa-Park Stadion,Sport-Club Freiburg,Eintracht Frankfurt,2 - 2
71,8,25/10/2025 13:30,Deutsche Bank Park,Eintracht Frankfurt,FC St. Pauli,2 - 0
74,9,01/11/2025 14:30,Voith-Arena,1. FC Heidenheim 1846,Eintracht Frankfurt,1 - 1
89,10,09/11/2025 18:30,Deutsche Bank Park,Eintracht Frankfurt,1. FSV Mainz 05,1 - 0
91,11,22/11/2025 17:30,RheinEnergieStadion,1. FC Köln,Eintracht Frankfurt,3 - 4
106,12,30/11/2025 16:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Wolfsburg,1 - 1
115,13,06/12/2025 17:30,Red Bull Arena,RB Leipzig,Eintracht Frankfurt,6 - 0
124,14,13/12/2025 14:30,Deutsche Bank Park,Eintracht Frankfurt,FC Augsburg,1 - 0
127,15,20/12/2025 14:30,Volksparkstadion,Hamburger SV,Eintracht Frankfurt,1 - 1
142,16,09/01/2026 19:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,3 - 3
150,17,13/01/2026 17:30,MHPArena,VfB Stuttgart,Eintracht Frankfurt,3 - 2
160,18,16/01/2026 19:30,Weserstadion,SV Werder Bremen,Eintracht Frankfurt,3 - 3
169,19,24/01/2026 14:30,Deutsche Bank Park,Eintracht Frankfurt,TSG Hoffenheim,1 - 3
180,20,31/01/2026 14:30,Deutsche Bank Park,Eintracht Frankfurt,Bayer 04 Leverkusen,
184,21,06/02/2026 19:30,An der Alten Försterei,1. FC Union Berlin,Eintracht Frankfurt,
197,22,14/02/2026 14:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Mönchengladbach,
207,23,21/02/2026 14:30,Allianz Arena,FC Bayern München,Eintracht Frankfurt,
215,24,01/03/2026 16:30,Deutsche Bank Park,Eintracht Frankfurt,Sport-Club Freiburg,
219,25,07/03/2026 14:30,Millerntor-Stadion,FC St. Pauli,Eintracht Frankfurt,
233,26,14/03/2026 14:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Heidenheim 1846,
241,27,21/03/2026 14:30,Mewa Arena,1. FSV Mainz 05,Eintracht Frankfurt,
251,28,04/04/2026 13:30,Deutsche Bank Park,Eintracht Frankfurt,1. FC Köln,
257,29,11/04/2026 13:30,Volkswagen Arena,VfL Wolfsburg,Eintracht Frankfurt,
268,30,18/04/2026 13:30,Deutsche Bank Park,Eintracht Frankfurt,RB Leipzig,
274,31,25/04/2026 13:30,WWK Arena,FC Augsburg,Eintracht Frankfurt,
286,32,02/05/2026 13:30,Deutsche Bank Park,Eintracht Frankfurt,Hamburger SV,
297,33,09/05/2026 13:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,
304,34,16/05/2026 13:30,Deutsche Bank Park,Eintracht Frankfurt,VfB Stuttgart,
