Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,22/08/2025 18:30,Allianz Arena,FC Bayern München,RB Leipzig,6 - 0
13,2,30/08/2025 16:30,WWK Arena,FC Augsburg,FC Bayern München,2 - 3
27,3,13/09/2025 16:30,Allianz Arena,FC Bayern München,Hamburger SV,5 - 0
29,4,20/09/2025 13:30,PreZero Arena,TSG Hoffenheim,FC Bayern München,1 - 4
45,5,26/09/2025 18:30,Allianz Arena,FC Bayern München,SV Werder Bremen,4 - 0
53,6,04/10/2025 16:30,Deutsche Bank Park,Eintracht Frankfurt,FC Bayern München,0 - 3
63,7,18/10/2025 16:30,Allianz Arena,FC Bayern München,Borussia Dortmund,2 - 1
67,8,25/10/2025 13:30,Borussia-Park,Borussia Mönchengladbach,FC Bayern München,0 - 3
81,9,01/11/2025 17:30,Allianz Arena,FC Bayern München,Bayer 04 Leverkusen,3 - 0
84,10,08/11/2025 14:30,An der Alten Försterei,1. FC Union Berlin,FC Bayern München,2 - 2
99,11,22/11/2025 14:30,Allianz Arena,FC Bayern München,Sport-Club Freiburg,6 - 2
108,12,29/11/2025 14:30,Allianz Arena,FC Bayern München,FC St. Pauli,3 - 1
114,13,06/12/2025 14:30,MHPArena,VfB Stuttgart,FC Bayern München,0 - 5
126,14,14/12/2025 16:30,Allianz Arena,FC Bayern München,1. FSV Mainz 05,2 - 2
129,15,21/12/2025 16:30,Voith-Arena,1. FC Heidenheim 1846,FC Bayern München,0 - 4
144,16,11/01/2026 16:30,Allianz Arena,FC Bayern München,VfL Wolfsburg,8 - 1
146,17,14/01/2026 19:30,RheinEnergieStadion,1. FC Köln,FC Bayern München,1 - 3
161,18,17/01/2026 17:30,Red Bull Arena,RB Leipzig,FC Bayern München,1 - 5
171,19,24/01/2026 14:30,Allianz Arena,FC Bayern München,FC Augsburg,1 - 2
172,20,31/01/2026 17:30,Volksparkstadion,Hamburger SV,FC Bayern München,
189,21,08/02/2026 16:30,Allianz Arena,FC Bayern München,TSG Hoffenheim,
194,22,14/02/2026 14:30,Weserstadion,SV Werder Bremen,FC Bayern München,
207,23,21/02/2026 14:30,Allianz Arena,FC Bayern München,Eintracht Frankfurt,
214,24,28/02/2026 17:30,Signal Iduna Park,Borussia Dortmund,FC Bayern München,
225,25,07/03/2026 14:30,Allianz Arena,FC Bayern München,Borussia Mönchengladbach,
234,26,14/03/2026 14:30,BayArena,Bayer 04 Leverkusen,FC Bayern München,
243,27,21/03/2026 14:30,Allianz Arena,FC Bayern München,1. FC Union Berlin,
250,28,04/04/2026 13:30,Europa-Park Stadion,Sport-Club Freiburg,FC Bayern München,
255,29,11/04/2026 13:30,Millerntor-Stadion,FC St. Pauli,FC Bayern München,
270,30,18/04/2026 13:30,Allianz Arena,FC Bayern München,VfB Stuttgart,
278,31,25/04/2026 13:30,Mewa Arena,1. FSV Mainz 05,FC Bayern München,
288,32,02/05/2026 13:30,Allianz Arena,FC Bayern München,1. FC Heidenheim 1846,
293,33,09/05/2026 13:30,Volkswagen Arena,VfL Wolfsburg,FC Bayern München,
306,34,16/05/2026 13:30,Allianz Arena,FC Bayern München,1. FC Köln,
