Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,15/08/2025 20:00,Anfield,Liverpool,Bournemouth,4 - 2
19,2,25/08/2025 20:00,St. James' Park,Newcastle,Liverpool,2 - 3
25,3,31/08/2025 16:30,Anfield,Liverpool,Arsenal,1 - 0
34,4,14/09/2025 14:00,Turf Moor,Burnley,Liverpool,0 - 1
46,5,20/09/2025 12:30,Anfield,Liverpool,Everton,2 - 1
54,6,27/09/2025 15:00,Selhurst Park,Crystal Palace,Liverpool,2 - 1
65,7,04/10/2025 17:30,Stamford Bridge,Chelsea,Liverpool,2 - 1
75,8,19/10/2025 16:30,Anfield,Liverpool,Man Utd,1 - 2
84,9,25/10/2025 20:00,Gtech Community Stadium,Brentford,Liverpool,3 - 2
95,10,01/11/2025 20:00,Anfield,Liverpool,Aston Villa,2 - 0
106,11,09/11/2025 16:30,Etihad Stadium,Man City,Liverpool,3 - 0
117,12,22/11/2025 15:00,Anfield,Liverpool,Nott'm Forest,0 - 3
130,13,30/11/2025 14:05,London Stadium,West Ham,Liverpool,0 - 2
137,14,03/12/2025 20:15,Anfield,Liverpool,Sunderland,1 - 1
146,15,06/12/2025 17:30,Elland Road,Leeds,Liverpool,3 - 3
156,16,13/12/2025 15:00,Anfield,Liverpool,Brighton,2 - 0
169,17,20/12/2025 17:30,Tottenham Hotspur Stadium,Spurs,Liverpool,1 - 2
176,18,27/12/2025 15:00,Anfield,Liverpool,Wolves,2 - 1
186,19,01/01/2026 17:30,Anfield,Liverpool,Leeds,0 - 0
195,20,04/01/2026 15:15,Craven Cottage,Fulham,Liverpool,2 - 2
201,21,08/01/2026 20:00,Emirates Stadium,Arsenal,Liverpool,0 - 0
215,22,17/01/2026 15:00,Anfield,Liverpool,Burnley,1 - 1
222,23,24/01/2026 17:30,Vitality Stadium,Bournemouth,Liverpool,3 - 2
235,24,31/01/2026 20:00,Anfield,Liverpool,Newcastle,
247,25,08/02/2026 16:30,Anfield,Liverpool,Man City,
258,26,11/02/2026 15:00,Stadium of Light,Sunderland,Liverpool,
267,27,21/02/2026 15:00,The City Ground,Nott'm Forest,Liverpool,
277,28,28/02/2026 15:00,Anfield,Liverpool,West Ham,
290,29,03/03/2026 20:15,Molineux Stadium,Wolves,Liverpool,
296,30,15/03/2026 16:30,Anfield,Liverpool,Spurs,
303,31,21/03/2026 12:30,American Express Stadium,Brighton,Liverpool,
316,32,11/04/2026 15:00,Anfield,Liverpool,Fulham,
325,33,18/04/2026 15:00,Hill Dickinson Stadium,Everton,Liverpool,
336,34,25/04/2026 15:00,Anfield,Liverpool,Crystal Palace,
348,35,02/05/2026 15:00,Old Trafford,Man Utd,Liverpool,
355,36,09/05/2026 15:00,Anfield,Liverpool,Chelsea,
362,37,17/05/2026 15:00,Villa Park,Aston Villa,Liverpool,
375,38,24/05/2026 16:00,Anfield,Liverpool,Brentford,
