Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,16/08/2025 12:30,Villa Park,Aston Villa,Newcastle,0 - 0
19,2,25/08/2025 20:00,St. James' Park,Newcastle,Liverpool,2 - 3
24,3,30/08/2025 17:30,Elland Road,Leeds,Newcastle,0 - 0
39,4,13/09/2025 15:00,St. James' Park,Newcastle,Wolves,1 - 0
42,5,21/09/2025 14:00,Vitality Stadium,Bournemouth,Newcastle,0 - 0
58,6,28/09/2025 16:30,St. James' Park,Newcastle,Arsenal,1 - 2
69,7,05/10/2025 14:00,St. James' Park,Newcastle,Nott'm Forest,2 - 0
71,8,18/10/2025 15:00,American Express Stadium,Brighton,Newcastle,2 - 1
89,9,25/10/2025 15:00,St. James' Park,Newcastle,Fulham,2 - 1
100,10,02/11/2025 14:00,London Stadium,West Ham,Newcastle,3 - 1
102,11,09/11/2025 14:00,Gtech Community Stadium,Brentford,Newcastle,3 - 1
119,12,22/11/2025 17:30,St. James' Park,Newcastle,Man City,2 - 1
125,13,29/11/2025 17:30,Hill Dickinson Stadium,Everton,Newcastle,1 - 4
139,14,02/12/2025 20:15,St. James' Park,Newcastle,Spurs,2 - 2
148,15,06/12/2025 15:00,St. James' Park,Newcastle,Burnley,2 - 1
159,16,14/12/2025 14:00,Stadium of Light,Sunderland,Newcastle,1 - 0
168,17,20/12/2025 12:30,St. James' Park,Newcastle,Chelsea,2 - 2
177,18,26/12/2025 20:00,Old Trafford,Man Utd,Newcastle,1 - 0
183,19,30/12/2025 19:30,Turf Moor,Burnley,Newcastle,1 - 3
198,20,04/01/2026 15:00,St. James' Park,Newcastle,Crystal Palace,2 - 0
209,21,07/01/2026 20:15,St. James' Park,Newcastle,Leeds,4 - 3
220,22,18/01/2026 14:00,Molineux Stadium,Wolves,Newcastle,0 - 0
229,23,25/01/2026 14:00,St. James' Park,Newcastle,Aston Villa,0 - 2
235,24,31/01/2026 20:00,Anfield,Liverpool,Newcastle,
249,25,07/02/2026 17:30,St. James' Park,Newcastle,Brentford,
259,26,10/02/2026 19:30,Tottenham Hotspur Stadium,Spurs,Newcastle,
266,27,21/02/2026 12:30,Etihad Stadium,Man City,Newcastle,
279,28,28/02/2026 15:00,St. James' Park,Newcastle,Everton,
288,29,04/03/2026 20:15,St. James' Park,Newcastle,Man Utd,
294,30,14/03/2026 17:30,Stamford Bridge,Chelsea,Newcastle,
308,31,22/03/2026 12:00,St. James' Park,Newcastle,Sunderland,
315,32,11/04/2026 15:00,Selhurst Park,Crystal Palace,Newcastle,
328,33,18/04/2026 15:00,St. James' Park,Newcastle,Bournemouth,
331,34,25/04/2026 15:00,Emirates Stadium,Arsenal,Newcastle,
349,35,02/05/2026 15:00,St. James' Park,Newcastle,Brighton,
357,36,09/05/2026 15:00,The City Ground,Nott'm Forest,Newcastle,
369,37,17/05/2026 15:00,St. James' Park,Newcastle,West Ham,
374,38,24/05/2026 16:00,Craven Cottage,Fulham,Newcastle,
