Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,16/08/2025 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,3 - 0
18,2,23/08/2025 12:30,Etihad Stadium,Man City,Spurs,0 - 2
29,3,30/08/2025 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth,0 - 1
40,4,13/09/2025 17:30,London Stadium,West Ham,Spurs,0 - 3
43,5,20/09/2025 15:00,American Express Stadium,Brighton,Spurs,2 - 2
60,6,27/09/2025 20:00,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 1
67,7,04/10/2025 12:30,Elland Road,Leeds,Spurs,1 - 2
79,8,19/10/2025 14:00,Tottenham Hotspur Stadium,Spurs,Aston Villa,1 - 2
86,9,26/10/2025 16:30,Hill Dickinson Stadium,Everton,Spurs,0 - 3
99,10,01/11/2025 17:30,Tottenham Hotspur Stadium,Spurs,Chelsea,0 - 1
109,11,08/11/2025 12:30,Tottenham Hotspur Stadium,Spurs,Man Utd,2 - 2
111,12,23/11/2025 16:30,Emirates Stadium,Arsenal,Spurs,4 - 1
129,13,29/11/2025 20:00,Tottenham Hotspur Stadium,Spurs,Fulham,1 - 2
139,14,02/12/2025 20:15,St. James' Park,Newcastle,Spurs,2 - 2
149,15,06/12/2025 15:00,Tottenham Hotspur Stadium,Spurs,Brentford,2 - 0
158,16,14/12/2025 14:00,The City Ground,Nott'm Forest,Spurs,3 - 0
169,17,20/12/2025 17:30,Tottenham Hotspur Stadium,Spurs,Liverpool,1 - 2
175,18,28/12/2025 16:30,Selhurst Park,Crystal Palace,Spurs,0 - 1
182,19,01/01/2026 20:00,Gtech Community Stadium,Brentford,Spurs,0 - 0
199,20,04/01/2026 15:00,Tottenham Hotspur Stadium,Spurs,Sunderland,1 - 1
202,21,07/01/2026 19:30,Vitality Stadium,Bournemouth,Spurs,3 - 2
219,22,17/01/2026 15:00,Tottenham Hotspur Stadium,Spurs,West Ham,1 - 2
224,23,24/01/2026 15:00,Turf Moor,Burnley,Spurs,2 - 2
239,24,01/02/2026 16:30,Tottenham Hotspur Stadium,Spurs,Man City,
248,25,07/02/2026 12:30,Old Trafford,Man Utd,Spurs,
259,26,10/02/2026 19:30,Tottenham Hotspur Stadium,Spurs,Newcastle,
269,27,22/02/2026 16:30,Tottenham Hotspur Stadium,Spurs,Arsenal,
275,28,01/03/2026 14:00,Craven Cottage,Fulham,Spurs,
289,29,05/03/2026 20:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,
296,30,15/03/2026 16:30,Anfield,Liverpool,Spurs,
309,31,22/03/2026 14:15,Tottenham Hotspur Stadium,Spurs,Nott'm Forest,
319,32,11/04/2026 15:00,Stadium of Light,Sunderland,Spurs,
330,33,18/04/2026 15:00,Tottenham Hotspur Stadium,Spurs,Brighton,
340,34,25/04/2026 15:00,Molineux Stadium,Wolves,Spurs,
342,35,02/05/2026 15:00,Villa Park,Aston Villa,Spurs,
359,36,09/05/2026 15:00,Tottenham Hotspur Stadium,Spurs,Leeds,
365,37,17/05/2026 15:00,Stamford Bridge,Chelsea,Spurs,
379,38,24/05/2026 16:00,Tottenham Hotspur Stadium,Spurs,Everton,
