Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,10/08/2025 14:30,Johan Cruyff Arena,Ajax,Telstar,2 - 0
15,2,17/08/2025 12:15,De Adelaarshorst,Go Ahead Eagles,Ajax,2 - 2
26,3,24/08/2025 16:45,Johan Cruyff Arena,Ajax,Heracles Almelo,2 - 0
32,4,30/08/2025 16:30,Kras Stadion,FC Volendam,Ajax,1 - 1
41,5,13/09/2025 16:30,Johan Cruyff Arena,Ajax,PEC Zwolle,3 - 1
48,6,21/09/2025 14:30,Philips Stadion,PSV,Ajax,2 - 2
58,7,27/09/2025 16:30,Johan Cruyff Arena,Ajax,NAC Breda,2 - 1
66,8,04/10/2025 16:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Ajax,3 - 3
74,9,18/10/2025 21:00,Johan Cruyff Arena,Ajax,AZ,0 - 2
85,10,26/10/2025 12:15,De Grolsch Veste,FC Twente,Ajax,2 - 3
99,11,01/11/2025 16:30,Johan Cruyff Arena,Ajax,sc Heerenveen,1 - 1
106,12,09/11/2025 12:15,Stadion Galgenwaard,FC Utrecht,Ajax,2 - 1
114,13,22/11/2025 18:45,Johan Cruyff Arena,Ajax,Excelsior Rotterdam,1 - 2
120,14,02/12/2025 14:30,Johan Cruyff Arena,Ajax,FC Groningen,
132,15,06/12/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,Ajax,1 - 3
136,16,14/12/2025 14:30,Johan Cruyff Arena,Ajax,Feyenoord,2 - 0
148,17,20/12/2025 20:00,Goffertstadion,N.E.C. Nijmegen,Ajax,2 - 2
155,18,11/01/2026 14:30,Sportpark Schoonenberg,Telstar,Ajax,2 - 3
170,19,17/01/2026 16:30,Johan Cruyff Arena,Ajax,Go Ahead Eagles,2 - 2
175,20,24/01/2026 16:30,Johan Cruyff Arena,Ajax,FC Volendam,2 - 0
184,21,01/02/2026 12:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,Ajax,
192,22,08/02/2026 14:30,AFAS Stadion,AZ,Ajax,
199,23,14/02/2026 20:00,Johan Cruyff Arena,Ajax,Fortuna Sittard,
212,24,21/02/2026 21:00,Johan Cruyff Arena,Ajax,N.E.C. Nijmegen,
219,25,01/03/2026 12:15,MAC³PARK Stadion,PEC Zwolle,Ajax,
228,26,07/03/2026 16:30,Euroborg,FC Groningen,Ajax,
238,27,14/03/2026 21:00,Johan Cruyff Arena,Ajax,Sparta Rotterdam,
248,28,22/03/2026 14:30,De Kuip,Feyenoord,Ajax,
261,29,04/04/2026 21:00,Johan Cruyff Arena,Ajax,FC Twente,
262,30,11/04/2026 21:00,Asito Stadion,Heracles Almelo,Ajax,
273,31,25/04/2026 20:00,Rat Verlegh Stadion,NAC Breda,Ajax,
281,32,02/05/2026 20:00,Johan Cruyff Arena,Ajax,PSV,
292,33,10/05/2026 16:45,Johan Cruyff Arena,Ajax,FC Utrecht,
304,34,17/05/2026 14:30,Abe Lenstra Stadion,sc Heerenveen,Ajax,
