Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,09/08/2025 21:00,Philips Stadion,PSV,Sparta Rotterdam,6 - 1
16,2,17/08/2025 14:30,De Grolsch Veste,FC Twente,PSV,0 - 2
22,3,23/08/2025 18:45,Philips Stadion,PSV,FC Groningen,4 - 2
28,4,30/08/2025 20:00,Philips Stadion,PSV,Telstar,0 - 2
39,5,13/09/2025 18:45,Goffertstadion,N.E.C. Nijmegen,PSV,3 - 5
48,6,21/09/2025 14:30,Philips Stadion,PSV,Ajax,2 - 2
61,7,27/09/2025 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,PSV,1 - 2
68,8,04/10/2025 20:00,MAC³PARK Stadion,PEC Zwolle,PSV,0 - 4
73,9,18/10/2025 18:45,Philips Stadion,PSV,Go Ahead Eagles,2 - 1
86,10,26/10/2025 14:30,De Kuip,Feyenoord,PSV,2 - 3
97,11,31/10/2025 20:00,Philips Stadion,PSV,Fortuna Sittard,5 - 2
105,12,09/11/2025 16:45,AFAS Stadion,AZ,PSV,1 - 5
117,13,22/11/2025 16:30,Rat Verlegh Stadion,NAC Breda,PSV,0 - 1
119,14,30/11/2025 12:15,Philips Stadion,PSV,FC Volendam,3 - 0
129,15,06/12/2025 16:30,Abe Lenstra Stadion,sc Heerenveen,PSV,0 - 2
144,16,13/12/2025 20:00,Philips Stadion,PSV,Heracles Almelo,4 - 3
153,17,21/12/2025 12:15,Stadion Galgenwaard,FC Utrecht,PSV,1 - 2
159,18,10/01/2026 20:00,Philips Stadion,PSV,Excelsior Rotterdam,5 - 1
163,19,17/01/2026 20:00,Fortuna Sittard Stadion,Fortuna Sittard,PSV,1 - 2
172,20,24/01/2026 20:00,Philips Stadion,PSV,NAC Breda,2 - 2
189,21,01/02/2026 14:30,Philips Stadion,PSV,Feyenoord,
195,22,08/02/2026 16:45,Euroborg,FC Groningen,PSV,
205,23,13/02/2026 20:00,Kras Stadion,FC Volendam,PSV,
216,24,21/02/2026 18:45,Philips Stadion,PSV,sc Heerenveen,
217,25,28/02/2026 18:45,Asito Stadion,Heracles Almelo,PSV,
233,26,07/03/2026 20:00,Philips Stadion,PSV,AZ,
241,27,14/03/2026 18:45,Philips Stadion,PSV,N.E.C. Nijmegen,
252,28,22/03/2026 20:00,Sportpark Schoonenberg,Telstar,PSV,
255,29,04/04/2026 16:30,Philips Stadion,PSV,FC Utrecht,
263,30,11/04/2026 18:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,PSV,
277,31,23/04/2026 21:00,Philips Stadion,PSV,PEC Zwolle,
281,32,02/05/2026 20:00,Johan Cruyff Arena,Ajax,PSV,
291,33,10/05/2026 16:45,De Adelaarshorst,Go Ahead Eagles,PSV,
305,34,17/05/2026 14:30,Philips Stadion,PSV,FC Twente,
