Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,17/08/2025 19:30,RCDE Stadium,RCD Espanyol de Barcelona,Atlético de Madrid,2 - 1
12,2,23/08/2025 17:30,Riyadh Air Metropolitano,Atlético de Madrid,Elche CF,1 - 1
21,3,30/08/2025 15:00,Mendizorroza,Deportivo Alavés,Atlético de Madrid,1 - 1
31,4,13/09/2025 19:00,Riyadh Air Metropolitano,Atlético de Madrid,Villarreal CF,2 - 0
47,5,21/09/2025 14:15,Estadi Mallorca Son Moix,RCD Mallorca,Atlético de Madrid,1 - 1
52,6,24/09/2025 19:30,Riyadh Air Metropolitano,Atlético de Madrid,Rayo Vallecano,3 - 2
61,7,27/09/2025 14:15,Riyadh Air Metropolitano,Atlético de Madrid,Real Madrid,5 - 2
75,8,05/10/2025 19:00,Estadio ABANCA Balaídos,Celta,Atlético de Madrid,1 - 1
82,9,18/10/2025 19:00,Riyadh Air Metropolitano,Atlético de Madrid,CA Osasuna,1 - 0
96,10,27/10/2025 20:00,Estadio Olímpico de La Cartuja,Real Betis,Atlético de Madrid,0 - 2
102,11,01/11/2025 15:15,Riyadh Air Metropolitano,Atlético de Madrid,Sevilla FC,3 - 0
112,12,08/11/2025 17:30,Riyadh Air Metropolitano,Atlético de Madrid,Levante UD,3 - 1
128,13,23/11/2025 17:30,Coliseum,Getafe CF,Atlético de Madrid,0 - 1
131,14,29/11/2025 20:00,Riyadh Air Metropolitano,Atlético de Madrid,Real Oviedo,2 - 0
142,15,06/12/2025 20:00,Estadio San Mamés,Athletic Club,Atlético de Madrid,1 - 0
152,16,13/12/2025 13:00,Riyadh Air Metropolitano,Atlético de Madrid,Valencia CF,2 - 1
167,17,21/12/2025 13:00,Estadio Municipal de Montilivi,Girona FC,Atlético de Madrid,0 - 3
175,18,04/01/2026 20:00,Anoeta,Real Sociedad,Atlético de Madrid,1 - 1
185,19,02/12/2025 20:00,Spotify Camp Nou,FC Barcelona,Atlético de Madrid,3 - 1
197,20,18/01/2026 15:15,Riyadh Air Metropolitano,Atlético de Madrid,Deportivo Alavés,1 - 0
202,21,25/01/2026 13:00,Riyadh Air Metropolitano,Atlético de Madrid,RCD Mallorca,3 - 0
216,22,31/01/2026 17:30,Estadio Ciutat de València,Levante UD,Atlético de Madrid,
223,23,08/02/2026 17:30,Riyadh Air Metropolitano,Atlético de Madrid,Real Betis,
237,24,15/02/2026 20:00,Estadio de Vallecas,Rayo Vallecano,Atlético de Madrid,
243,25,22/02/2026 20:00,Riyadh Air Metropolitano,Atlético de Madrid,RCD Espanyol de Barcelona,
257,26,01/03/2026 20:00,Estadio Carlos Tartiere,Real Oviedo,Atlético de Madrid,
262,27,08/03/2026 20:00,Riyadh Air Metropolitano,Atlético de Madrid,Real Sociedad,
272,28,15/03/2026 20:00,Riyadh Air Metropolitano,Atlético de Madrid,Getafe CF,
288,29,22/03/2026 20:00,Estadio Santiago Bernabéu,Real Madrid,Atlético de Madrid,
292,30,05/04/2026 19:00,Riyadh Air Metropolitano,Atlético de Madrid,FC Barcelona,
307,31,12/04/2026 19:00,Ramón Sánchez-Pizjuán,Sevilla FC,Atlético de Madrid,
316,32,19/04/2026 19:00,Riyadh Air Metropolitano,Atlético de Madrid,Athletic Club,
327,33,22/04/2026 19:00,Estadio Martínez Valero,Elche CF,Atlético de Madrid,
337,34,03/05/2026 19:00,Camp de Mestalla,Valencia CF,Atlético de Madrid,
342,35,10/05/2026 19:00,Riyadh Air Metropolitano,Atlético de Madrid,Celta,
357,36,13/05/2026 19:00,Estadio El Sadar,CA Osasuna,Atlético de Madrid,
362,37,17/05/2026 19:00,Riyadh Air Metropolitano,Atlético de Madrid,Girona FC,
378,38,24/05/2026 19:00,Estadio de la Cerámica,Villarreal CF,Atlético de Madrid,
