Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,16/08/2025 17:30,Estadi Mallorca Son Moix,RCD Mallorca,FC Barcelona,0 - 3
16,2,23/08/2025 19:30,Estadio Ciutat de València,Levante UD,FC Barcelona,2 - 3
28,3,31/08/2025 19:30,Estadio de Vallecas,Rayo Vallecano,FC Barcelona,1 - 1
32,4,14/09/2025 19:00,Estadi Johan Cruyff,FC Barcelona,Valencia CF,6 - 0
42,5,21/09/2025 19:00,Estadi Johan Cruyff,FC Barcelona,Getafe CF,3 - 0
57,6,25/09/2025 19:30,Estadio Carlos Tartiere,Real Oviedo,FC Barcelona,1 - 3
62,7,28/09/2025 16:30,Estadi Olímpic Lluís Companys,FC Barcelona,Real Sociedad,2 - 1
76,8,05/10/2025 14:15,Ramón Sánchez-Pizjuán,Sevilla FC,FC Barcelona,4 - 1
83,9,18/10/2025 14:15,Estadi Olímpic Lluís Companys,FC Barcelona,Girona FC,2 - 1
97,10,26/10/2025 15:15,Estadio Santiago Bernabéu,Real Madrid,FC Barcelona,2 - 1
103,11,02/11/2025 17:30,Estadi Olímpic Lluís Companys,FC Barcelona,Elche CF,3 - 1
117,12,09/11/2025 20:00,Estadio ABANCA Balaídos,Celta,FC Barcelona,2 - 4
127,13,22/11/2025 15:15,Spotify Camp Nou,FC Barcelona,Athletic Club,4 - 0
137,14,29/11/2025 15:15,Spotify Camp Nou,FC Barcelona,Deportivo Alavés,3 - 1
145,15,06/12/2025 17:30,Estadio Olímpico de La Cartuja,Real Betis,FC Barcelona,3 - 5
153,16,13/12/2025 17:30,Spotify Camp Nou,FC Barcelona,CA Osasuna,2 - 0
168,17,21/12/2025 15:15,Estadio de la Cerámica,Villarreal CF,FC Barcelona,0 - 2
176,18,03/01/2026 20:00,RCDE Stadium,RCD Espanyol de Barcelona,FC Barcelona,0 - 2
185,19,02/12/2025 20:00,Spotify Camp Nou,FC Barcelona,Atlético de Madrid,3 - 1
199,20,18/01/2026 20:00,Anoeta,Real Sociedad,FC Barcelona,2 - 1
203,21,25/01/2026 15:15,Spotify Camp Nou,FC Barcelona,Real Oviedo,3 - 0
217,22,31/01/2026 17:30,Estadio Martínez Valero,Elche CF,FC Barcelona,
224,23,07/02/2026 15:15,Spotify Camp Nou,FC Barcelona,RCD Mallorca,
238,24,15/02/2026 20:00,Estadio Municipal de Montilivi,Girona FC,FC Barcelona,
244,25,22/02/2026 20:00,Spotify Camp Nou,FC Barcelona,Levante UD,
251,26,01/03/2026 20:00,Spotify Camp Nou,FC Barcelona,Villarreal CF,
261,27,08/03/2026 20:00,Estadio San Mamés,Athletic Club,FC Barcelona,
273,28,15/03/2026 20:00,Spotify Camp Nou,FC Barcelona,Sevilla FC,
282,29,22/03/2026 20:00,Spotify Camp Nou,FC Barcelona,Rayo Vallecano,
292,30,05/04/2026 19:00,Riyadh Air Metropolitano,Atlético de Madrid,FC Barcelona,
302,31,12/04/2026 19:00,Spotify Camp Nou,FC Barcelona,RCD Espanyol de Barcelona,
317,32,19/04/2026 19:00,Coliseum,Getafe CF,FC Barcelona,
322,33,22/04/2026 19:00,Spotify Camp Nou,FC Barcelona,Celta,
338,34,03/05/2026 19:00,Estadio El Sadar,CA Osasuna,FC Barcelona,
343,35,10/05/2026 19:00,Spotify Camp Nou,FC Barcelona,Real Madrid,
351,36,13/05/2026 19:00,Mendizorroza,Deportivo Alavés,FC Barcelona,
363,37,17/05/2026 19:00,Spotify Camp Nou,FC Barcelona,Real Betis,
379,38,24/05/2026 19:00,Camp de Mestalla,Valencia CF,FC Barcelona,
