Match Number,Round Number,Date,Location,Home Team,Away Team,Result
10,1,19/08/2025 19:00,Estadio Santiago Bernabéu,Real Madrid,CA Osasuna,1 - 0
14,2,24/08/2025 19:30,Estadio Carlos Tartiere,Real Oviedo,Real Madrid,0 - 3
30,3,30/08/2025 19:30,Estadio Santiago Bernabéu,Real Madrid,RCD Mallorca,2 - 1
40,4,13/09/2025 14:15,Anoeta,Real Sociedad,Real Madrid,1 - 2
49,5,20/09/2025 14:15,Estadio Santiago Bernabéu,Real Madrid,RCD Espanyol de Barcelona,2 - 0
54,6,23/09/2025 19:30,Estadio Ciutat de València,Levante UD,Real Madrid,1 - 4
61,7,27/09/2025 14:15,Riyadh Air Metropolitano,Atlético de Madrid,Real Madrid,5 - 2
74,8,04/10/2025 19:00,Estadio Santiago Bernabéu,Real Madrid,Villarreal CF,3 - 1
85,9,19/10/2025 19:00,Coliseum,Getafe CF,Real Madrid,0 - 1
97,10,26/10/2025 15:15,Estadio Santiago Bernabéu,Real Madrid,FC Barcelona,2 - 1
106,11,01/11/2025 20:00,Estadio Santiago Bernabéu,Real Madrid,Valencia CF,4 - 0
115,12,09/11/2025 15:15,Estadio de Vallecas,Rayo Vallecano,Real Madrid,0 - 0
123,13,23/11/2025 20:00,Estadio Martínez Valero,Elche CF,Real Madrid,2 - 2
133,14,30/11/2025 20:00,Estadio Municipal de Montilivi,Girona FC,Real Madrid,1 - 1
146,15,07/12/2025 20:00,Estadio Santiago Bernabéu,Real Madrid,Celta,0 - 2
151,16,14/12/2025 20:00,Mendizorroza,Deportivo Alavés,Real Madrid,1 - 2
165,17,20/12/2025 20:00,Estadio Santiago Bernabéu,Real Madrid,Sevilla FC,2 - 0
177,18,04/01/2026 15:15,Estadio Santiago Bernabéu,Real Madrid,Real Betis,5 - 1
181,19,03/12/2025 18:00,Estadio San Mamés,Athletic Club,Real Madrid,0 - 3
200,20,17/01/2026 13:00,Estadio Santiago Bernabéu,Real Madrid,Levante UD,2 - 0
210,21,24/01/2026 20:00,Estadio de la Cerámica,Villarreal CF,Real Madrid,0 - 2
220,22,01/02/2026 13:00,Estadio Santiago Bernabéu,Real Madrid,Rayo Vallecano,
229,23,08/02/2026 20:00,Camp de Mestalla,Valencia CF,Real Madrid,
234,24,15/02/2026 20:00,Estadio Santiago Bernabéu,Real Madrid,Real Sociedad,
248,25,22/02/2026 20:00,Estadio El Sadar,CA Osasuna,Real Madrid,
259,26,01/03/2026 20:00,Estadio Santiago Bernabéu,Real Madrid,Getafe CF,
263,27,08/03/2026 20:00,Estadio ABANCA Balaídos,Celta,Real Madrid,
277,28,15/03/2026 20:00,Estadio Santiago Bernabéu,Real Madrid,Elche CF,
288,29,22/03/2026 20:00,Estadio Santiago Bernabéu,Real Madrid,Atlético de Madrid,
295,30,05/04/2026 19:00,Estadi Mallorca Son Moix,RCD Mallorca,Real Madrid,
310,31,12/04/2026 19:00,Estadio Santiago Bernabéu,Real Madrid,Girona FC,
312,32,19/04/2026 19:00,Estadio Olímpico de La Cartuja,Real Betis,Real Madrid,
326,33,22/04/2026 19:00,Estadio Santiago Bernabéu,Real Madrid,Deportivo Alavés,
334,34,03/05/2026 19:00,RCDE Stadium,RCD Espanyol de Barcelona,Real Madrid,
343,35,10/05/2026 19:00,Spotify Camp Nou,FC Barcelona,Real Madrid,
360,36,13/05/2026 19:00,Estadio Santiago Bernabéu,Real Madrid,Real Oviedo,
370,37,17/05/2026 19:00,Ramón Sánchez-Pizjuán,Sevilla FC,Real Madrid,
377,38,24/05/2026 19:00,Estadio Santiago Bernabéu,Real Madrid,Athletic Club,
