Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,15/08/2025 19:30,Estadio de la Cerámica,Villarreal CF,Real Oviedo,2 - 0
20,2,24/08/2025 17:30,Estadio de la Cerámica,Villarreal CF,Girona FC,5 - 0
22,3,31/08/2025 15:00,Estadio ABANCA Balaídos,Celta,Villarreal CF,1 - 1
31,4,13/09/2025 19:00,Riyadh Air Metropolitano,Atlético de Madrid,Villarreal CF,2 - 0
50,5,20/09/2025 16:30,Estadio de la Cerámica,Villarreal CF,CA Osasuna,2 - 1
55,6,23/09/2025 19:30,Ramón Sánchez-Pizjuán,Sevilla FC,Villarreal CF,1 - 2
67,7,27/09/2025 19:00,Estadio de la Cerámica,Villarreal CF,Athletic Club,1 - 0
74,8,04/10/2025 19:00,Estadio Santiago Bernabéu,Real Madrid,Villarreal CF,3 - 1
88,9,18/10/2025 16:30,Estadio de la Cerámica,Villarreal CF,Real Betis,2 - 2
94,10,25/10/2025 19:00,Camp de Mestalla,Valencia CF,Villarreal CF,0 - 2
110,11,01/11/2025 13:00,Estadio de la Cerámica,Villarreal CF,Rayo Vallecano,4 - 0
114,12,08/11/2025 20:00,RCDE Stadium,RCD Espanyol de Barcelona,Villarreal CF,0 - 2
130,13,22/11/2025 20:00,Estadio de la Cerámica,Villarreal CF,RCD Mallorca,2 - 1
136,14,30/11/2025 13:00,Anoeta,Real Sociedad,Villarreal CF,2 - 3
147,15,06/12/2025 13:00,Estadio de la Cerámica,Villarreal CF,Getafe CF,2 - 0
154,16,18/02/2026 19:00,Estadio Ciutat de València,Levante UD,Villarreal CF,
168,17,21/12/2025 15:15,Estadio de la Cerámica,Villarreal CF,FC Barcelona,0 - 2
173,18,03/01/2026 17:30,Estadio Martínez Valero,Elche CF,Villarreal CF,1 - 3
184,19,10/01/2026 15:15,Estadio de la Cerámica,Villarreal CF,Deportivo Alavés,3 - 1
191,20,17/01/2026 20:00,Estadio Olímpico de La Cartuja,Real Betis,Villarreal CF,2 - 0
210,21,24/01/2026 20:00,Estadio de la Cerámica,Villarreal CF,Real Madrid,0 - 2
214,22,31/01/2026 15:15,Estadio El Sadar,CA Osasuna,Villarreal CF,
227,23,09/02/2026 20:00,Estadio de la Cerámica,Villarreal CF,RCD Espanyol de Barcelona,
232,24,15/02/2026 20:00,Coliseum,Getafe CF,Villarreal CF,
249,25,22/02/2026 20:00,Estadio de la Cerámica,Villarreal CF,Valencia CF,
251,26,01/03/2026 20:00,Spotify Camp Nou,FC Barcelona,Villarreal CF,
267,27,08/03/2026 20:00,Estadio de la Cerámica,Villarreal CF,Elche CF,
271,28,15/03/2026 20:00,Mendizorroza,Deportivo Alavés,Villarreal CF,
290,29,22/03/2026 20:00,Estadio de la Cerámica,Villarreal CF,Real Sociedad,
294,30,05/04/2026 19:00,Estadio Municipal de Montilivi,Girona FC,Villarreal CF,
301,31,12/04/2026 19:00,Estadio San Mamés,Athletic Club,Villarreal CF,
318,32,19/04/2026 19:00,Estadio de la Cerámica,Villarreal CF,Celta,
325,33,22/04/2026 19:00,Estadio Carlos Tartiere,Real Oviedo,Villarreal CF,
339,34,03/05/2026 19:00,Estadio de la Cerámica,Villarreal CF,Levante UD,
345,35,10/05/2026 19:00,Estadi Mallorca Son Moix,RCD Mallorca,Villarreal CF,
359,36,13/05/2026 19:00,Estadio de la Cerámica,Villarreal CF,Sevilla FC,
366,37,17/05/2026 19:00,Estadio de Vallecas,Rayo Vallecano,Villarreal CF,
378,38,24/05/2026 19:00,Estadio de la Cerámica,Villarreal CF,Atlético de Madrid,
