Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,15/08/2025 18:45,Roazhon Park,Stade Rennais FC,Olympique de Marseille,1 - 0
14,2,23/08/2025 15:00,Stade Vélodrome,Olympique de Marseille,Paris FC,5 - 2
23,3,31/08/2025 18:45,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,1 - 0
31,4,12/09/2025 18:45,Stade Vélodrome,Olympique de Marseille,FC Lorient,4 - 0
42,5,22/09/2025 18:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,1 - 0
53,6,26/09/2025 18:45,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,1 - 2
60,7,04/10/2025 15:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,0 - 3
67,8,18/10/2025 19:05,Stade Vélodrome,Olympique de Marseille,Havre Athletic Club,6 - 2
76,9,25/10/2025 19:05,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,2 - 1
84,10,29/10/2025 20:05,Stade Vélodrome,Olympique de Marseille,Angers SCO,2 - 2
91,11,01/11/2025 20:05,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,0 - 1
104,12,08/11/2025 16:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,3 - 0
114,13,21/11/2025 19:45,Allianz Riviera,OGC Nice,Olympique de Marseille,1 - 5
122,14,29/11/2025 20:05,Stade Vélodrome,Olympique de Marseille,Toulouse FC,2 - 2
129,15,05/12/2025 20:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,1 - 0
140,16,14/12/2025 19:45,Stade Vélodrome,Olympique de Marseille,AS Monaco,1 - 0
149,17,04/01/2026 14:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,0 - 2
154,18,17/01/2026 20:05,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,2 - 5
167,19,24/01/2026 20:05,Stade Vélodrome,Olympique de Marseille,RC Lens,3 - 1
178,20,31/01/2026 16:00,Stade Charléty,Paris FC,Olympique de Marseille,
189,21,08/02/2026 19:45,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,
194,22,14/02/2026 23:00,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,
201,23,21/02/2026 23:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,
211,24,28/02/2026 23:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,
225,25,07/03/2026 23:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,
229,26,14/03/2026 23:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,
238,27,21/03/2026 23:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,
250,28,04/04/2026 22:00,Stade Louis II,AS Monaco,Olympique de Marseille,
257,29,11/04/2026 22:00,Stade Vélodrome,Olympique de Marseille,FC Metz,
265,30,18/04/2026 22:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,
276,31,25/04/2026 22:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,
284,32,02/05/2026 22:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,
291,33,08/05/2026 22:00,Stade Océane,Havre Athletic Club,Olympique de Marseille,
302,34,15/05/2026 22:00,Stade Vélodrome,Olympique de Marseille,Stade Rennais FC,
