Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,17/08/2025 20:45,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,0 - 1
16,2,22/08/2025 18:45,Parc des Princes,Paris Saint-Germain,Angers SCO,1 - 0
27,3,30/08/2025 19:05,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,3 - 6
34,4,14/09/2025 15:15,Parc des Princes,Paris Saint-Germain,RC Lens,2 - 0
42,5,22/09/2025 18:00,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,1 - 0
51,6,27/09/2025 19:05,Parc des Princes,Paris Saint-Germain,AJ Auxerre,2 - 0
58,7,05/10/2025 18:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 1
70,8,17/10/2025 18:45,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,3 - 3
75,9,25/10/2025 15:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,0 - 3
83,10,29/10/2025 18:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,1 - 1
97,11,01/11/2025 16:00,Parc des Princes,Paris Saint-Germain,OGC Nice,1 - 0
103,12,09/11/2025 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,Paris Saint-Germain,2 - 3
115,13,22/11/2025 20:05,Parc des Princes,Paris Saint-Germain,Havre Athletic Club,3 - 0
124,14,29/11/2025 16:00,Stade Louis II,AS Monaco,Paris Saint-Germain,1 - 0
131,15,06/12/2025 20:05,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,5 - 0
141,16,13/12/2025 18:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,2 - 3
152,17,04/01/2026 19:45,Parc des Princes,Paris Saint-Germain,Paris FC,2 - 1
159,18,16/01/2026 20:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,3 - 0
163,19,23/01/2026 19:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris Saint-Germain,0 - 1
179,20,01/02/2026 19:45,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
189,21,08/02/2026 19:45,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,
198,22,14/02/2026 23:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,
205,23,21/02/2026 23:00,Parc des Princes,Paris Saint-Germain,FC Metz,
208,24,28/02/2026 23:00,Stade Océane,Havre Athletic Club,Paris Saint-Germain,
224,25,07/03/2026 23:00,Parc des Princes,Paris Saint-Germain,AS Monaco,
232,26,14/03/2026 23:00,Parc des Princes,Paris Saint-Germain,FC Nantes,
240,27,21/03/2026 23:00,Allianz Riviera,OGC Nice,Paris Saint-Germain,
251,28,04/04/2026 22:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,
255,29,11/04/2026 22:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,
269,30,18/04/2026 22:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,
271,31,25/04/2026 22:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,
287,32,02/05/2026 22:00,Parc des Princes,Paris Saint-Germain,FC Lorient,
295,33,08/05/2026 22:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,
305,34,15/05/2026 22:00,Stade Charléty,Paris FC,Paris Saint-Germain,
