Match Number,Round Number,Date,Location,Home Team,Away Team,Result
3,1,23/09/2025 19:15,Estádio da Luz,SL Benfica,Rio Ave FC,1 - 1
18,2,16/08/2025 19:30,Estádio José Gomes,Estrela Amadora,SL Benfica,0 - 1
22,3,23/08/2025 19:30,Estádio da Luz,SL Benfica,CD Tondela,3 - 0
30,4,31/08/2025 17:00,Complexo Desportivo FC Alverca,FC Alverca,SL Benfica,1 - 2
43,5,12/09/2025 19:15,Estádio da Luz,SL Benfica,Santa Clara,1 - 1
46,6,20/09/2025 17:00,Estádio do CD Aves,AFS,SL Benfica,0 - 3
61,7,26/09/2025 19:15,Estádio da Luz,SL Benfica,Gil Vicente FC,2 - 1
72,8,05/10/2025 20:15,Estádio do Dragão,FC Porto,SL Benfica,0 - 0
80,9,25/10/2025 19:30,Estádio da Luz,SL Benfica,FC Arouca,5 - 0
90,10,01/11/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,SL Benfica,0 - 3
97,11,09/11/2025 20:30,Estádio da Luz,SL Benfica,Casa Pia AC,2 - 2
108,12,29/11/2025 18:00,Estádio da Madeira,CD Nacional,SL Benfica,1 - 2
113,13,05/12/2025 20:15,Estádio da Luz,SL Benfica,Sporting CP,1 - 1
125,14,14/12/2025 18:00,Parque Joaquim de Almeida Freitas,Moreirense FC,SL Benfica,0 - 4
131,15,22/12/2025 20:45,Estádio da Luz,SL Benfica,FC Famalicão,1 - 0
144,16,28/12/2025 18:00,Estádio Municipal de Braga,SC Braga,SL Benfica,2 - 2
149,17,03/01/2026 18:00,Estádio da Luz,SL Benfica,Estoril Praia,3 - 1
156,18,17/01/2026 20:30,Estádio do Rio Ave FC,Rio Ave FC,SL Benfica,0 - 2
171,19,25/01/2026 18:00,Estádio da Luz,SL Benfica,Estrela Amadora,4 - 0
175,20,01/02/2026 20:30,Estádio João Cardoso,CD Tondela,SL Benfica,
183,21,08/02/2026 20:30,Estádio da Luz,SL Benfica,FC Alverca,
196,22,15/02/2026 15:30,Estádio de São Miguel,Santa Clara,SL Benfica,
199,23,22/02/2026 15:30,Estádio da Luz,SL Benfica,AFS,
214,24,01/03/2026 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,SL Benfica,
225,25,08/03/2026 15:30,Estádio da Luz,SL Benfica,FC Porto,
233,26,15/03/2026 15:30,Estádio Municipal de Arouca,FC Arouca,SL Benfica,
243,27,22/03/2026 15:30,Estádio da Luz,SL Benfica,Vitória SC,
250,28,03/04/2026 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,SL Benfica,
261,29,11/04/2026 15:30,Estádio da Luz,SL Benfica,CD Nacional,
266,30,18/04/2026 15:30,Estádio José Alvalade,Sporting CP,SL Benfica,
278,31,25/04/2026 15:30,Estádio da Luz,SL Benfica,Moreirense FC,
284,32,02/05/2026 15:30,Estádio Municipal de Famalicão,FC Famalicão,SL Benfica,
297,33,09/05/2026 15:30,Estádio da Luz,SL Benfica,SC Braga,
302,34,16/05/2026 15:30,Estadio António Coimbra da Mota,Estoril Praia,SL Benfica,
