Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,08/08/2025 19:15,Estádio Municipal de Rio Maior,Casa Pia AC,Sporting CP,0 - 2
16,2,17/08/2025 19:30,Estádio José Alvalade,Sporting CP,FC Arouca,6 - 0
19,3,23/08/2025 17:00,Estádio da Madeira,CD Nacional,Sporting CP,1 - 4
35,4,30/08/2025 19:30,Estádio José Alvalade,Sporting CP,FC Porto,1 - 2
40,5,13/09/2025 19:30,Estádio Municipal de Famalicão,FC Famalicão,Sporting CP,1 - 2
53,6,22/09/2025 19:15,Estádio José Alvalade,Sporting CP,Moreirense FC,3 - 0
55,7,27/09/2025 19:30,Estadio António Coimbra da Mota,Estoril Praia,Sporting CP,0 - 1
71,8,05/10/2025 18:15,Estádio José Alvalade,Sporting CP,SC Braga,1 - 1
81,9,26/10/2025 18:00,Estádio João Cardoso,CD Tondela,Sporting CP,0 - 3
86,10,31/10/2025 20:15,Estádio José Alvalade,Sporting CP,FC Alverca,2 - 0
95,11,08/11/2025 20:30,Estádio de São Miguel,Santa Clara,Sporting CP,1 - 2
104,12,30/11/2025 18:00,Estádio José Alvalade,Sporting CP,Estrela Amadora,4 - 0
113,13,05/12/2025 20:15,Estádio da Luz,SL Benfica,Sporting CP,1 - 1
121,14,13/12/2025 20:30,Estádio José Alvalade,Sporting CP,AFS,6 - 0
132,15,23/12/2025 20:45,Estádio D. Afonso Henriques,Vitória SC,Sporting CP,1 - 4
142,16,28/12/2025 20:30,Estádio José Alvalade,Sporting CP,Rio Ave FC,4 - 0
147,17,02/01/2026 18:45,Estádio Cidade de Barcelos,Gil Vicente FC,Sporting CP,1 - 1
154,18,16/01/2026 20:15,Estádio José Alvalade,Sporting CP,Casa Pia AC,3 - 0
169,19,24/01/2026 18:00,Estádio Municipal de Arouca,FC Arouca,Sporting CP,1 - 2
172,20,01/02/2026 18:00,Estádio José Alvalade,Sporting CP,CD Nacional,
188,21,09/02/2026 20:45,Estádio do Dragão,FC Porto,Sporting CP,
193,22,15/02/2026 15:30,Estádio José Alvalade,Sporting CP,FC Famalicão,
206,23,22/02/2026 15:30,Parque Joaquim de Almeida Freitas,Moreirense FC,Sporting CP,
208,24,01/03/2026 15:30,Estádio José Alvalade,Sporting CP,Estoril Praia,
224,25,08/03/2026 15:30,Estádio Municipal de Braga,SC Braga,Sporting CP,
234,26,15/03/2026 15:30,Estádio José Alvalade,Sporting CP,CD Tondela,
239,27,22/03/2026 15:30,Complexo Desportivo FC Alverca,FC Alverca,Sporting CP,
248,28,03/04/2026 15:30,Estádio José Alvalade,Sporting CP,Santa Clara,
257,29,11/04/2026 15:30,Estádio José Gomes,Estrela Amadora,Sporting CP,
266,30,18/04/2026 15:30,Estádio José Alvalade,Sporting CP,SL Benfica,
274,31,25/04/2026 15:30,Estádio do CD Aves,AFS,Sporting CP,
285,32,02/05/2026 15:30,Estádio José Alvalade,Sporting CP,Vitória SC,
295,33,09/05/2026 15:30,Estádio do Rio Ave FC,Rio Ave FC,Sporting CP,
300,34,16/05/2026 15:30,Estádio José Alvalade,Sporting CP,Gil Vicente FC,
