Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,24/08/2025 18:45,Atleti Azzurri d'Italia,Atalanta,Pisa,1 - 1
14,2,30/08/2025 16:30,Ennio Tardini,Parma,Atalanta,1 - 1
25,3,14/09/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Lecce,4 - 1
31,4,21/09/2025 13:00,Olimpico Grande Torino,Torino,Atalanta,0 - 3
44,5,27/09/2025 16:00,Juventus Stadium,Juventus,Atalanta,1 - 1
51,6,04/10/2025 18:45,Atleti Azzurri d'Italia,Atalanta,Como,1 - 1
61,7,19/10/2025 16:00,Atleti Azzurri d'Italia,Atalanta,Lazio,0 - 0
73,8,25/10/2025 18:45,Giovanni Zini,Cremonese,Atalanta,1 - 1
81,9,28/10/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Milan,1 - 1
99,10,01/11/2025 14:00,Friuli,Udinese,Atalanta,1 - 0
101,11,09/11/2025 11:30,Atleti Azzurri d'Italia,Atalanta,Sassuolo,0 - 3
117,12,22/11/2025 19:45,Diego Armando Maradona,Napoli,Atalanta,3 - 1
121,13,30/11/2025 17:00,Atleti Azzurri d'Italia,Atalanta,Fiorentina,2 - 0
140,14,06/12/2025 19:45,Marcantonio Bentegodi,Hellas Verona,Atalanta,3 - 1
141,15,13/12/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Cagliari,2 - 1
154,16,21/12/2025 19:45,Luigi Ferraris,Genoa,Atalanta,0 - 1
170,17,28/12/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Inter,0 - 1
171,18,03/01/2026 19:45,Atleti Azzurri d'Italia,Atalanta,Roma,1 - 0
181,19,07/01/2026 17:30,Renato Dall'Ara,Bologna,Atalanta,0 - 2
191,20,10/01/2026 19:45,Atleti Azzurri d'Italia,Atalanta,Torino,2 - 0
206,21,16/01/2026 19:45,Garibaldi,Pisa,Atalanta,1 - 1
211,22,25/01/2026 14:00,Atleti Azzurri d'Italia,Atalanta,Parma,4 - 0
223,23,01/02/2026 14:00,Giuseppe Sinigaglia,Como,Atalanta,
234,24,09/02/2026 17:30,Atleti Azzurri d'Italia,Atalanta,Cremonese,
245,25,15/02/2026 14:00,Olimpico,Lazio,Atalanta,
251,26,22/02/2026 14:00,Atleti Azzurri d'Italia,Atalanta,Napoli,
269,27,01/03/2026 14:00,Mapei Stadium - Città del Tricolore,Sassuolo,Atalanta,
272,28,08/03/2026 14:00,Atleti Azzurri d'Italia,Atalanta,Udinese,
283,29,15/03/2026 14:00,San Siro,Inter,Atalanta,
291,30,22/03/2026 14:00,Atleti Azzurri d'Italia,Atalanta,Hellas Verona,
305,31,04/04/2026 13:00,Ettore Giardiniero - Via del mare,Lecce,Atalanta,
311,32,12/04/2026 13:00,Atleti Azzurri d'Italia,Atalanta,Juventus,
326,33,19/04/2026 13:00,Olimpico,Roma,Atalanta,
332,34,26/04/2026 13:00,Unipol Domus,Cagliari,Atalanta,
341,35,03/05/2026 13:00,Atleti Azzurri d'Italia,Atalanta,Genoa,
357,36,10/05/2026 13:00,San Siro,Milan,Atalanta,
361,37,17/05/2026 13:00,Atleti Azzurri d'Italia,Atalanta,Bologna,
373,38,24/05/2026 13:00,Artemio Franchi,Fiorentina,Atalanta,
