Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,24/08/2025 18:45,Juventus Stadium,Juventus,Parma,2 - 0
17,2,31/08/2025 16:30,Luigi Ferraris,Genoa,Juventus,0 - 1
22,3,13/09/2025 16:00,Juventus Stadium,Juventus,Inter,4 - 3
33,4,20/09/2025 16:00,Marcantonio Bentegodi,Hellas Verona,Juventus,1 - 1
44,5,27/09/2025 16:00,Juventus Stadium,Juventus,Atalanta,1 - 1
55,6,05/10/2025 18:45,Juventus Stadium,Juventus,Milan,0 - 0
63,7,19/10/2025 10:30,Giuseppe Sinigaglia,Como,Juventus,2 - 0
75,8,26/10/2025 19:45,Olimpico,Lazio,Juventus,1 - 0
87,9,29/10/2025 17:30,Juventus Stadium,Juventus,Udinese,3 - 1
91,10,01/11/2025 19:45,Giovanni Zini,Cremonese,Juventus,1 - 2
106,11,08/11/2025 17:00,Juventus Stadium,Juventus,Torino,0 - 0
114,12,22/11/2025 17:00,Artemio Franchi,Fiorentina,Juventus,1 - 1
125,13,29/11/2025 17:00,Juventus Stadium,Juventus,Cagliari,2 - 1
135,14,07/12/2025 19:45,Diego Armando Maradona,Napoli,Juventus,2 - 1
142,15,14/12/2025 19:45,Renato Dall'Ara,Bologna,Juventus,0 - 1
156,16,20/12/2025 19:45,Juventus Stadium,Juventus,Roma,2 - 1
166,17,27/12/2025 19:45,Garibaldi,Pisa,Juventus,0 - 2
177,18,03/01/2026 17:00,Juventus Stadium,Juventus,Lecce,1 - 1
189,19,06/01/2026 19:45,Mapei Stadium - Città del Tricolore,Sassuolo,Juventus,0 - 3
196,20,12/01/2026 19:45,Juventus Stadium,Juventus,Cremonese,5 - 0
210,21,17/01/2026 19:45,Unipol Domus,Cagliari,Juventus,1 - 0
216,22,25/01/2026 17:00,Juventus Stadium,Juventus,Napoli,3 - 0
227,23,01/02/2026 19:45,Ennio Tardini,Parma,Juventus,
238,24,08/02/2026 19:45,Juventus Stadium,Juventus,Lazio,
244,25,15/02/2026 14:00,San Siro,Inter,Juventus,
256,26,22/02/2026 14:00,Juventus Stadium,Juventus,Como,
265,27,01/03/2026 14:00,Olimpico,Roma,Juventus,
276,28,08/03/2026 14:00,Juventus Stadium,Juventus,Pisa,
289,29,15/03/2026 14:00,Friuli,Udinese,Juventus,
297,30,22/03/2026 14:00,Juventus Stadium,Juventus,Sassuolo,
303,31,04/04/2026 13:00,Juventus Stadium,Juventus,Genoa,
311,32,12/04/2026 13:00,Atleti Azzurri d'Italia,Atalanta,Juventus,
322,33,19/04/2026 13:00,Juventus Stadium,Juventus,Bologna,
336,34,26/04/2026 13:00,San Siro,Milan,Juventus,
346,35,03/05/2026 13:00,Juventus Stadium,Juventus,Hellas Verona,
356,36,10/05/2026 13:00,Ettore Giardiniero - Via del mare,Lecce,Juventus,
366,37,17/05/2026 13:00,Juventus Stadium,Juventus,Fiorentina,
379,38,24/05/2026 13:00,Olimpico Grande Torino,Torino,Juventus,
