Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,08/08/2025 21:30,Gaziantep Stadium,Gaziantep,Galatasaray,0 - 3
16,2,15/08/2025 21:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Fatih Karagümrük,3 - 0
27,3,24/08/2025 21:30,RHG Enertürk Enerji Stadium,Kayserispor,Galatasaray,0 - 4
34,4,30/08/2025 21:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Çaykur Rizespor,3 - 1
37,5,13/09/2025 17:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Galatasaray,0 - 2
52,6,22/09/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Konyaspor,3 - 1
58,7,26/09/2025 20:00,Alanya Oba Stadium,Alanyaspor,Galatasaray,0 - 1
70,8,04/10/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Besiktas,1 - 1
77,9,18/10/2025 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Galatasaray,1 - 2
88,10,26/10/2025 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Göztepe,3 - 1
97,11,01/11/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Trabzonspor,0 - 0
108,12,09/11/2025 17:00,Kocaeli Stadium,Kocaelispor,Galatasaray,1 - 0
115,13,22/11/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Gençlerbirligi,3 - 2
124,14,01/12/2025 20:00,Ülker Stadium,Fenerbahçe,Galatasaray,1 - 1
133,15,05/12/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Samsunspor,3 - 2
137,16,13/12/2025 20:00,Antalya Stadium,Antalyaspor,Galatasaray,1 - 4
151,17,21/12/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kasimpasa,3 - 0
159,18,17/01/2026 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Gaziantep,1 - 1
169,19,24/01/2026 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Galatasaray,1 - 3
180,20,01/02/2026 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kayserispor,
187,21,08/02/2026 17:00,Rize City Stadium,Çaykur Rizespor,Galatasaray,
190,22,13/02/2026 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Eyüpspor,
206,23,22/02/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,
211,24,01/03/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Alanyaspor,
224,25,08/03/2026 16:00,Besiktas Stadyumu,Besiktas,Galatasaray,
230,26,15/03/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Istanbul Basaksehir,
241,27,18/03/2026 16:00,Gürsel Aksel Stadium,Göztepe,Galatasaray,
250,28,05/04/2026 16:00,Papara Park,Trabzonspor,Galatasaray,
261,29,12/04/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kocaelispor,
268,30,19/04/2026 16:00,Eryaman Stadium,Gençlerbirligi,Galatasaray,
277,31,26/04/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Fenerbahçe,
286,32,03/05/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Galatasaray,
291,33,10/05/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Antalyaspor,
304,34,17/05/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,
